Date,Close
2015-03-02,13.16
2015-03-03,13.3
2015-03-04,13.5
2015-03-05,13.38
2015-03-06,12.93
2015-03-09,12.73
2015-03-10,12.69
2015-03-11,12.92
2015-03-12,12.74
2015-03-13,12.58
2015-03-16,13.05
2015-03-17,12.98
2015-03-18,13.38
2015-03-19,13.04
2015-03-20,13.21
2015-03-23,13.31
2015-03-24,13.45
2015-03-25,12.95
2015-03-26,12.69
2015-03-27,12.33
2015-03-30,12.7
2015-03-31,12.58
2015-04-01,12.51
2015-04-02,12.73
2015-04-06,13.54
2015-04-07,13.55
2015-04-08,13.84
2015-04-09,14.01
2015-04-10,14.06
2015-04-13,13.99
2015-04-14,13.83
2015-04-15,13.86
2015-04-16,13.78
2015-04-17,13.79
2015-04-20,13.68
2015-04-21,13.96
2015-04-22,14.63
2015-04-23,14.57
2015-04-24,14.56
2015-04-27,15.44
2015-04-28,15.37
2015-04-29,15.5
2015-04-30,15.07
2015-05-01,15.07
2015-05-04,15.37
2015-05-05,15.53
2015-05-06,15.36
2015-05-07,15.79
2015-05-08,15.77
2015-05-11,15.97
2015-05-12,16.32
2015-05-13,16.21
2015-05-14,16.27
2015-05-15,16.59
2015-05-18,16.58
2015-05-19,16.48
2015-05-20,16.29
2015-05-21,16.37
2015-05-22,16.52
2015-05-26,16.5
2015-05-27,16.5
2015-05-28,16.76
2015-05-29,16.72
2015-06-01,16.63
2015-06-02,16.56
2015-06-03,16.6
2015-06-04,16.39
2015-06-05,16.61
2015-06-08,17.09
2015-06-09,17.07
2015-06-10,16.71
2015-06-11,16.76
2015-06-12,16.71
2015-06-15,16.69
2015-06-16,16.87
2015-06-17,17.36
2015-06-18,17.46
2015-06-19,17.5
2015-06-22,17.32
2015-06-23,17.84
2015-06-24,17.68
2015-06-25,17.92
2015-06-26,17.81
2015-06-29,17.47
2015-06-30,17.88
2015-07-01,17.94
2015-07-02,18.67
2015-07-06,18.65
2015-07-07,17.86
2015-07-08,17
2015-07-09,17.19
2015-07-10,17.28
2015-07-13,17.48
2015-07-14,17.71
2015-07-15,17.54
2015-07-16,17.78
2015-07-17,18.31
2015-07-20,18.82
2015-07-21,17.78
2015-07-22,17.86
2015-07-23,17.81
2015-07-24,17.69
2015-07-27,16.87
2015-07-28,17.65
2015-07-29,17.59
2015-07-30,17.79
2015-07-31,17.74
2015-08-03,17.33
2015-08-04,17.75
2015-08-05,18.01
2015-08-06,16.41
2015-08-07,16.17
2015-08-10,16.08
2015-08-11,15.82
2015-08-12,15.88
2015-08-13,16.17
2015-08-14,16.21
2015-08-17,17
2015-08-18,17.38
2015-08-19,17.02
2015-08-20,16.15
2015-08-21,15.38
2015-08-24,14.59
2015-08-25,14.67
2015-08-26,14.99
2015-08-27,16.2
2015-08-28,16.57
2015-08-31,16.6
2015-09-01,15.91
2015-09-02,16.51
2015-09-03,16.37
2015-09-04,16.13
2015-09-08,16.54
2015-09-09,16.59
2015-09-10,16.57
2015-09-11,16.68
2015-09-14,16.88
2015-09-15,16.9
2015-09-16,17.48
2015-09-17,17.47
2015-09-18,17.37
2015-09-21,17.61
2015-09-22,17.4
2015-09-23,17.4
2015-09-24,17.54
2015-09-25,17.13
2015-09-28,16.56
2015-09-29,16.44
2015-09-30,16.56
2015-10-01,15.99
2015-10-02,16.5
2015-10-05,16.41
2015-10-06,16.1
2015-10-07,15.46
2015-10-08,15.11
2015-10-09,14.71
2015-10-12,14.37
2015-10-13,14.62
2015-10-14,14.46
2015-10-15,14.75
2015-10-16,15.13
2015-10-19,15.21
2015-10-20,14.2
2015-10-21,14.01
2015-10-22,14.11
2015-10-23,13.94
2015-10-26,14.35
2015-10-27,14.02
2015-10-28,14.2
2015-10-29,14.11
2015-10-30,13.8
2015-11-02,14.25
2015-11-03,13.89
2015-11-04,15.44
2015-11-05,15.45
2015-11-06,15.49
2015-11-09,15.02
2015-11-10,14.43
2015-11-11,14.61
2015-11-12,14.2
2015-11-13,13.81
2015-11-16,14.29
2015-11-17,14.27
2015-11-18,14.74
2015-11-19,14.79
2015-11-20,14.67
2015-11-23,14.52
2015-11-24,14.55
2015-11-25,15.31
2015-11-27,15.44
2015-11-30,15.35
2015-12-01,15.81
2015-12-02,15.47
2015-12-03,15.51
2015-12-04,15.36
2015-12-07,15.41
2015-12-08,15.11
2015-12-09,14.97
2015-12-10,15.14
2015-12-11,14.47
2015-12-14,14.57
2015-12-15,14.74
2015-12-16,15.63
2015-12-17,15.56
2015-12-18,15.36
2015-12-21,15.5
2015-12-22,15.33
2015-12-23,15.31
2015-12-24,15.37
2015-12-28,15.26
2015-12-29,15.81
2015-12-30,15.87
2015-12-31,16
2016-01-04,14.89
2016-01-05,14.9
2016-01-06,14.6
2016-01-07,14.38
2016-01-08,14.07
2016-01-11,13.86
2016-01-12,14
2016-01-13,13.35
2016-01-14,13.75
2016-01-15,13.67
2016-01-19,13.65
2016-01-20,13.25
2016-01-21,13.33
2016-01-22,13.5
2016-01-25,13.09
2016-01-26,12.9
2016-01-27,12.54
2016-01-28,12.65
2016-01-29,12.75
2016-02-01,13.13
2016-02-02,12.19
2016-02-03,11.57
2016-02-04,11.69
